SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,408 Stanyan St,San Francisco,CA,94117,1798000,3,3.0,San Francisco,2249,2656,,7,799,375,Active,September-25-2021 12:00 PM,September-25-2021 02:00 PM,http://www.redfin.com/CA/San-Francisco/408-Stanyan-St-94117/home/596650,San Francisco MLS,421570288,N,Y,37.7746203,-122.4543538
MLS Listing,,Condo/Co-op,77 Dow Pl #108,San Francisco,CA,94107,799000,1,1.5,San Francisco,1057,18962,2002,7,756,903,Active,,,http://www.redfin.com/CA/San-Francisco/77-Dow-Pl-94107/unit-108/home/861605,San Francisco MLS,421594403,N,Y,37.7840596,-122.3966174
MLS Listing,,Condo/Co-op,758 Haight St #2,San Francisco,CA,94117,849000,1,1.0,San Francisco,660,4125,1900,7,1286,315,Active,September-25-2021 02:00 PM,September-25-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/758-Haight-St-94117/unit-2/home/114068738,San Francisco MLS,421595813,N,Y,37.7717839,-122.4346696
MLS Listing,,Condo/Co-op,95 Red Rock Way Unit M101,San Francisco,CA,94131,610000,0,1.0,San Francisco,592,6833,1972,7,1030,516,Active,,,http://www.redfin.com/CA/San-Francisco/95-Red-Rock-Way-94131/unit-M101/home/102815004,San Francisco MLS,421595567,N,Y,37.7463443,-122.4415484
MLS Listing,,Condo/Co-op,3131 Pierce St #304,San Francisco,CA,94123,1495000,2,2.0,San Francisco,1029,,,7,1453,1053,Active,,,http://www.redfin.com/CA/San-Francisco/3131-Pierce-St-94123/unit-304/home/176426552,San Francisco MLS,421595656,N,Y,37.7989774,-122.4394952
MLS Listing,,Condo/Co-op,3131 Pierce St #201,San Francisco,CA,94123,1495000,2,2.0,San Francisco,1106,,,7,1352,1082,Active,,,http://www.redfin.com/CA/San-Francisco/3131-Pierce-St-94123/unit-201/home/176426550,San Francisco MLS,421595663,N,Y,37.7989774,-122.4394952
MLS Listing,,Condo/Co-op,601 Van Ness Ave #48,San Francisco,CA,94102,849000,2,,San Francisco,1037,105806,1982,7,819,1130,Active,,,http://www.redfin.com/CA/San-Francisco/601-Van-Ness-Ave-94102/unit-48/home/1467354,San Francisco MLS,421594821,N,Y,37.7811165,-122.4213309
MLS Listing,,Condo/Co-op,250 King St #806,San Francisco,CA,94107,839000,1,1.0,San Francisco,982,213232,2004,8,854,850,Active,September-26-2021 02:00 PM,September-26-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/250-King-St-94107/unit-806/home/12402002,San Francisco MLS,421595207,N,Y,37.7781222,-122.3932903
MLS Listing,,Condo/Co-op,283 Chenery St,San Francisco,CA,94131,1999000,4,2.5,San Francisco,2106,2900,2004,8,949,342,Active,September-25-2021 12:30 PM,September-25-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/283-Chenery-St-94131/home/17305763,San Francisco MLS,421593385,N,Y,37.7374043,-122.4272607
MLS Listing,,Single Family Residential,18 Eagle St,San Francisco,CA,94114,1995000,3,3.5,San Francisco,2421,2478,,8,824,,Active,September-25-2021 11:00 AM,September-25-2021 01:00 PM,http://www.redfin.com/CA/San-Francisco/18-Eagle-St-94114/home/1130294,San Francisco MLS,421592642,N,Y,37.7583505,-122.4424942
MLS Listing,,Condo/Co-op,425 1st St #4603,San Francisco,CA,94105,2050000,2,2.0,San Francisco,1278,56024,2008,8,1604,1258,Active,September-25-2021 01:00 PM,September-25-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/425-1st-St-94105/unit-4603/home/17305596,San Francisco MLS,421594735,N,Y,37.7857365,-122.3921923
MLS Listing,,Single Family Residential,412 Mississippi St,San Francisco,CA,94107,1595000,2,1.0,San Francisco,1175,1750,1938,8,1357,,Active,,,http://www.redfin.com/CA/San-Francisco/412-Mississippi-St-94107/home/734294,San Francisco MLS,421583935,N,Y,37.7611648,-122.3946558
MLS Listing,,Condo/Co-op,725 Florida St #1,San Francisco,CA,94110,849000,1,1.0,Inner Mission,990,9498,2000,8,858,645,Active,September-25-2021 12:00 PM,September-25-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/725-Florida-St-94110/unit-LA/home/12397384,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40967480,N,Y,37.7599462,-122.4105766
MLS Listing,,Condo/Co-op,2170 Jackson St #2,San Francisco,CA,94115,4100000,3,2.5,San Francisco,3150,4513,1925,8,1302,1495,Active,September-26-2021 12:00 PM,September-26-2021 02:00 PM,http://www.redfin.com/CA/San-Francisco/2170-Jackson-St-94115/unit-2/home/12395511,San Francisco MLS,421594209,N,Y,37.7931556,-122.4308253
MLS Listing,,Multi-Family (5+ Unit),2981 - 2987 25th St,San Francisco,CA,94110,2390000,8,4.0,San Francisco,4310,2622,1910,8,555,,Active,,,http://www.redfin.com/CA/San-Francisco/2981-25th-St-94110/home/736915,San Francisco MLS,421594533,N,Y,37.7510226,-122.4096686
MLS Listing,,Multi-Family (2-4 Unit),65 - 69 Rosemont Pl,San Francisco,CA,94103,2299000,4,2.0,San Francisco,3152,3256295,1928,8,729,,Active,September-25-2021 02:00 PM,September-25-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/65-Rosemont-Pl-94103/home/1800579,San Francisco MLS,421593576,N,Y,37.7683645,-122.4253349
MLS Listing,,Multi-Family (2-4 Unit),23 - 27 Cotter St,San Francisco,CA,94112,999000,3,4.0,San Francisco,2540,2495,1919,8,393,,Active,,,http://www.redfin.com/CA/San-Francisco/23-Cotter-St-94112/home/1886304,San Francisco MLS,421595733,N,Y,37.7273005,-122.4335978
MLS Listing,,Single Family Residential,151 Merced Ave,San Francisco,CA,94127,1895000,3,2.5,San Francisco,1960,5000,1915,8,967,,Active,September-26-2021 02:00 PM,September-26-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/151-Merced-Ave-94127/home/1975924,San Francisco MLS,421589966,N,Y,37.74402,-122.4617399
MLS Listing,,Condo/Co-op,1458 Broadway #3,San Francisco,CA,94109,1880000,2,2.0,San Francisco,1130,5019,,8,1664,769,Active,September-25-2021 11:00 AM,September-25-2021 01:00 PM,http://www.redfin.com/CA/San-Francisco/1458-Broadway-94109/unit-3/home/176411390,San Francisco MLS,421595383,N,Y,37.7962764,-122.4211966
MLS Listing,,Single Family Residential,1770 Newcomb Ave,San Francisco,CA,94124,1295000,4,4.0,San Francisco,2307,2500,1907,8,561,,Active,September-25-2021 12:00 PM,September-25-2021 02:00 PM,http://www.redfin.com/CA/San-Francisco/1770-Newcomb-Ave-94124/home/984513,San Francisco MLS,421595552,N,Y,37.737211,-122.3928473
MLS Listing,,Single Family Residential,2730 43rd Ave,San Francisco,CA,94116,1495000,4,2.0,San Francisco,1985,3000,1948,8,753,,Active,,,http://www.redfin.com/CA/San-Francisco/2730-43rd-Ave-94116/home/666285,San Francisco MLS,421595688,N,Y,37.7358603,-122.5007784
MLS Listing,,Condo/Co-op,388 Fulton St #307,San Francisco,CA,94102,525000,0,1.0,San Francisco,371,12509,2016,8,1415,,Active,,,http://www.redfin.com/CA/San-Francisco/388-Fulton-St-94102/unit-307/home/109240367,San Francisco MLS,421595183,N,Y,37.7790326,-122.4231449
MLS Listing,,Condo/Co-op,2011 3rd St #4,San Francisco,CA,94107,1095000,2,2.0,San Francisco,1285,4992,1997,8,852,592,Active,September-26-2021 02:00 PM,September-26-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/2011-3rd-St-94107/unit-4/home/12396262,San Francisco MLS,421594416,N,Y,37.7639672,-122.3885189
MLS Listing,,Single Family Residential,1858 10th Ave,San Francisco,CA,94122,1350000,2,1.0,San Francisco,,3000,1921,8,,,Active,,,http://www.redfin.com/CA/San-Francisco/1858-10th-Ave-94122/home/1211083,San Francisco MLS,421595598,N,Y,37.7535816,-122.4664721
